date,trips
2013-06,577703
2013-07,843416
2013-08,1001958
2013-09,1034359
2013-10,1037712
2013-11,675774
2013-12,443966
2014-01,300400
2014-02,224736
2014-03,439117
2014-04,670780
2014-05,866117
2014-06,936880
2014-07,968842
2014-08,963489
2014-09,953887
2014-10,828711
2014-11,529188
2014-12,399069
2015-01,285552
2015-02,196930
2015-03,341826
2015-04,652390
2015-05,961986
2015-06,941219
2015-07,1085676
2015-08,1179044
2015-09,1289699
2015-10,1212277
2015-11,987245
2015-12,804125
2016-01,509478
2016-02,560874
2016-03,919921
2016-04,1013149
2016-05,1212280
2016-06,1460318
2016-07,1380110
2016-08,1557663
2016-09,1648856
2016-10,1573872
2016-11,1196942
2016-12,812192
2017-01,726676
2017-02,791647
2017-03,727665
2017-04,1315404
2017-05,1523268
2017-06,1731594
2017-07,1735599
2017-08,1816498
2017-09,1878098
2017-10,1897592
2017-11,1330649
2017-12,889967
2018-01,718994
2018-02,843114
2018-03,976672
2018-04,1307543
2018-05,1824710
2018-06,1953103
2018-07,1913625
2018-08,1977177
2018-09,1877884
2018-10,1878657
2018-11,1260355
2018-12,1016505
2019-01,967287
2019-02,943744
2019-03,1327960
2019-04,1766094
2019-05,1924563
2019-06,2125370
2019-07,2181064
2019-08,2344224
2019-09,2444900
2019-10,2092573
2019-11,1478708
2019-12,955210
2020-01,1240596
2020-02,1146830
2020-03,1068457
2020-04,682762
2020-05,1487890
2020-06,1882273
2020-07,2105808
2020-08,2329514
2020-09,2488225
2020-10,2248869
2020-11,1736704
2020-12,1088929
2021-01,1095346
